Store Name, Terminal Name, Received From, UTR ID, VPA, Order ID, Date & Time, Amount
HARIOM TRADERS,Terminal 16,4.46E+11,4.46E+11,T2406061029429245052411,---,01 Jul '24 | 10:22 AM,300
HARIOM TRADERS,Terminal 16,4.46E+11,4.46E+11,T2406061210531596112871,---,01 Jul '24 | 11:38 AM,420
HARIOM TRADERS,Terminal 17,4.46E+11,4.46E+11,T2406061211339816302448,---,01 Jul '24 | 02:16 PM,100
HARIOM TRADERS,Terminal 16,4.09E+11,4.09E+11,T2406061349579436405542,---,01 Jul '24 | 05:08 PM,290
HARIOM TRADERS,Terminal 17,4.09E+11,4.09E+11,T2406061453478413594671,---,01 Jul '24 | 06:37 PM,640
HARIOM TRADERS,Terminal 16,4.46E+11,4.46E+11,T2406061552161340608638,---,02 Jul '24 | 09:13 AM,200
HARIOM TRADERS,Terminal 17,4.46E+11,4.46E+11,T2406061635019025501270,---,02 Jul '24 | 12:19 PM,200
HARIOM TRADERS,Terminal 17,4.46E+11,4.46E+11,T2406061732314529058290,---,02 Jul '24 | 02:18 PM,350
HARIOM TRADERS,Terminal 16,4.46E+11,4.46E+11,T2406061844145202186614,---,02 Jul '24 | 02:18 PM,350
HARIOM TRADERS,Terminal 16,4.09E+11,4.09E+11,T2406061845052160608116,---,02 Jul '24 | 03:13 PM,170
HARIOM TRADERS,Terminal 17,4.09E+11,4.09E+11,T2406071342473392797624,---,02 Jul '24 | 04:15 PM,1700
HARIOM TRADERS,Terminal 17,4.46E+11,4.46E+11,T2406071444414443827419,---,02 Jul '24 | 06:04 PM,250
HARIOM TRADERS,Terminal 17,4.46E+11,4.46E+11,T2406071744100472086273,---,02 Jul '24 | 06:43 PM,700
HARIOM TRADERS,Terminal 17,4.46E+11,4.46E+11,T2406071924428241685831,---,02 Jul '24 | 07:31 PM,400
HARIOM TRADERS,Terminal 17,4.46E+11,4.46E+11,T2406081343393889438448,---,03 Jul '24 | 11:32 AM,100
HARIOM TRADERS,Terminal 17,4.09E+11,4.09E+11,T2406081551325144698950,---,03 Jul '24 | 02:47 PM,900
HARIOM TRADERS,Terminal 16,4.46E+11,4.46E+11,T2406081625248752239111,---,03 Jul '24 | 03:09 PM,2500
HARIOM TRADERS,Terminal 17,4.46E+11,4.46E+11,T2406081745396131079259,---,03 Jul '24 | 03:15 PM,120
HARIOM TRADERS,Terminal 16,4.46E+11,4.46E+11,T2406081753526691137728,---,04 Jul '24 | 11:46 AM,2000
HARIOM TRADERS,Terminal 16,4.46E+11,4.46E+11,T2406091106010600543506,---,04 Jul '24 | 04:29 PM,30
HARIOM TRADERS,Terminal 16,4.46E+11,4.46E+11,T2406091127591406311119,---,04 Jul '24 | 04:30 PM,220
HARIOM TRADERS,Terminal 16,4.46E+11,4.46E+11,T2406091151210782610554,---,04 Jul '24 | 07:31 PM,600
HARIOM TRADERS,Terminal 16,4.46E+11,4.46E+11,T2406091331028792797029,---,05 Jul '24 | 10:16 AM,450
HARIOM TRADERS,Terminal 16,4.46E+11,4.46E+11,T2406091706256501521682,---,05 Jul '24 | 11:04 AM,300
HARIOM TRADERS,Terminal 17,4.46E+11,4.46E+11,T2406091713453240174234,---,05 Jul '24 | 01:10 PM,1750
HARIOM TRADERS,Terminal 18,4.46E+11,4.46E+11,T2406091748098740975164,---,05 Jul '24 | 03:34 PM,900
HARIOM TRADERS,Terminal 19,4.46E+11,4.46E+11,T2406091754059685306415,---,05 Jul '24 | 04:17 PM,800
HARIOM TRADERS,Terminal 20,4.46E+11,4.46E+11,T2406101053114848972820,---,05 Jul '24 | 05:01 PM,900
HARIOM TRADERS,Terminal 21,4.46E+11,4.46E+11,T2406101058491601521136,---,05 Jul '24 | 06:41 PM,35
HARIOM TRADERS,Terminal 22,4.46E+11,4.46E+11,T2406101304006248035098,---,06 Jul '24 | 10:35 AM,1900
HARIOM TRADERS,Terminal 23,4.10E+11,4.10E+11,T2406101440192485912748,---,06 Jul '24 | 01:36 PM,130
HARIOM TRADERS,Terminal 24,4.46E+11,4.46E+11,T2406101549460324970204,---,06 Jul '24 | 02:52 PM,600
HARIOM TRADERS,Terminal 25,4.10E+11,4.10E+11,T2406101556122271212391,---,06 Jul '24 | 03:13 PM,1050
HARIOM TRADERS,Terminal 26,4.10E+11,4.10E+11,T2406101623335670045410,---,06 Jul '24 | 03:19 PM,350
HARIOM TRADERS,Terminal 27,4.46E+11,4.46E+11,T2406101643168851867035,---,06 Jul '24 | 03:20 PM,200
HARIOM TRADERS,Terminal 28,4.46E+11,4.46E+11,T2406101715132816024356,---,06 Jul '24 | 05:38 PM,2200
HARIOM TRADERS,Terminal 29,4.46E+11,4.46E+11,T2406101753423538065027,---,06 Jul '24 | 06:38 PM,350
HARIOM TRADERS,Terminal 30,4.46E+11,4.46E+11,T2406101820505521218988,---,06 Jul '24 | 06:46 PM,350
HARIOM TRADERS,Terminal 31,4.46E+11,4.46E+11,T2406101914277837428998,---,06 Jul '24 | 07:02 PM,300
HARIOM TRADERS,Terminal 32,4.10E+11,4.10E+11,T2406111203476078030731,---,06 Jul '24 | 08:13 PM,700
HARIOM TRADERS,Terminal 33,4.46E+11,4.46E+11,T2406111555025163208122,---,07 Jul '24 | 11:00 AM,80
HARIOM TRADERS,Terminal 34,4.46E+11,4.46E+11,T2406111605072050398359,---,07 Jul '24 | 11:01 AM,9600
HARIOM TRADERS,Terminal 35,4.46E+11,4.46E+11,T2406111621586530975477,---,07 Jul '24 | 12:52 PM,1200
HARIOM TRADERS,Terminal 36,4.46E+11,4.46E+11,T2406111938113728030932,---,07 Jul '24 | 01:13 PM,3700
HARIOM TRADERS,Terminal 37,4.46E+11,4.46E+11,T2406121050345653113352,---,07 Jul '24 | 01:13 PM,1400
HARIOM TRADERS,Terminal 38,4.46E+11,4.46E+11,T2406121055558911037186,---,07 Jul '24 | 03:17 PM,2600
HARIOM TRADERS,Terminal 39,4.46E+11,4.46E+11,T2406121056502040501578,---,07 Jul '24 | 03:59 PM,580
HARIOM TRADERS,Terminal 40,4.10E+11,4.10E+11,T2406121113401026700852,---,08 Jul '24 | 10:17 AM,900
HARIOM TRADERS,Terminal 41,4.46E+11,4.46E+11,T2406121244542960244660,---,08 Jul '24 | 12:43 PM,500
HARIOM TRADERS,Terminal 42,4.46E+11,4.46E+11,T2406121341108422983983,---,08 Jul '24 | 01:37 PM,900
HARIOM TRADERS,Terminal 43,4.10E+11,4.10E+11,T2406121739050392817356,---,08 Jul '24 | 03:55 PM,150
HARIOM TRADERS,Terminal 44,4.46E+11,4.46E+11,T2406131148058411083774,---,08 Jul '24 | 06:55 PM,500
HARIOM TRADERS,Terminal 45,4.46E+11,4.46E+11,T2406131435108219140930,---,08 Jul '24 | 07:24 PM,240
HARIOM TRADERS,Terminal 46,4.10E+11,4.10E+11,T2406131447339938056960,---,08 Jul '24 | 07:30 PM,100
HARIOM TRADERS,Terminal 47,4.46E+11,4.46E+11,T2406131554102125440856,---,09 Jul '24 | 12:53 PM,1000
HARIOM TRADERS,Terminal 48,4.10E+11,4.10E+11,T2406131627413414718469,---,09 Jul '24 | 03:33 PM,2000
HARIOM TRADERS,Terminal 49,4.47E+11,4.47E+11,T2406131719380291633465,---,09 Jul '24 | 03:34 PM,2000
HARIOM TRADERS,Terminal 50,4.10E+11,4.10E+11,T2406131807444728673678,---,09 Jul '24 | 04:00 PM,120
HARIOM TRADERS,Terminal 51,4.47E+11,4.47E+11,T2406131849111226509528,---,10 Jul '24 | 01:03 PM,800
HARIOM TRADERS,Terminal 52,4.47E+11,4.47E+11,T2406141032201987767495,---,10 Jul '24 | 03:31 PM,320
HARIOM TRADERS,Terminal 53,4.47E+11,4.47E+11,T2406141033087509132781,---,10 Jul '24 | 04:03 PM,400
HARIOM TRADERS,Terminal 54,4.10E+11,4.10E+11,T2406141033175402177174,---,10 Jul '24 | 04:18 PM,2900
HARIOM TRADERS,Terminal 55,4.47E+11,4.47E+11,T2406141039151828393675,---,10 Jul '24 | 04:42 PM,380
HARIOM TRADERS,Terminal 56,4.47E+11,4.47E+11,T2406141214331442257682,---,10 Jul '24 | 05:03 PM,900
HARIOM TRADERS,Terminal 57,4.47E+11,4.47E+11,T2406141617386874610948,---,10 Jul '24 | 05:47 PM,1200
HARIOM TRADERS,Terminal 58,4.47E+11,4.47E+11,T2406151246402060877418,---,11 Jul '24 | 12:01 PM,740
HARIOM TRADERS,Terminal 59,4.47E+11,4.47E+11,T2406151329126011738003,---,11 Jul '24 | 12:09 PM,520
HARIOM TRADERS,Terminal 60,4.47E+11,4.47E+11,T2406151558418445638085,---,11 Jul '24 | 03:14 PM,500
HARIOM TRADERS,Terminal 61,4.47E+11,4.47E+11,T2406151647323974087217,---,11 Jul '24 | 07:11 PM,650
HARIOM TRADERS,Terminal 62,4.10E+11,4.10E+11,T2406151712441788144417,---,11 Jul '24 | 07:11 PM,50
HARIOM TRADERS,Terminal 63,4.47E+11,4.47E+11,T2406151715543052257579,---,12 Jul '24 | 10:01 AM,7700
HARIOM TRADERS,Terminal 64,4.47E+11,4.47E+11,T2406151733310449527523,---,12 Jul '24 | 01:33 PM,100
HARIOM TRADERS,Terminal 64,4.47E+11,4.47E+11,T2406151858539927861815,,12 Jul '24 | 04:32 PM,1200
HARIOM TRADERS,Terminal 64,4.47E+11,4.47E+11,T2406151920188216223572,,12 Jul '24 | 06:08 PM,200
HARIOM TRADERS,Terminal 64,4.47E+11,4.47E+11,T2406152035518584889758,,13 Jul '24 | 12:31 PM,1
HARIOM TRADERS,Terminal 64,4.47E+11,4.47E+11,T2406152056111666652629,,13 Jul '24 | 05:32 PM,600
HARIOM TRADERS,Terminal 64,4.47E+11,4.47E+11,T2406160928006998367009,,13 Jul '24 | 06:13 PM,200
HARIOM TRADERS,Terminal 64,4.47E+11,4.47E+11,T2406161104598507240386,,13 Jul '24 | 07:27 PM,60
HARIOM TRADERS,Terminal 64,4.47E+11,4.47E+11,T2406161106414081738035,,14 Jul '24 | 11:05 AM,350
HARIOM TRADERS,Terminal 64,4.47E+11,4.47E+11,T2406161115065506288819,,14 Jul '24 | 12:06 PM,1000
HARIOM TRADERS,Terminal 64,4.47E+11,4.47E+11,T2406161130197433498397,,14 Jul '24 | 12:10 PM,50
HARIOM TRADERS,Terminal 64,4.47E+11,4.47E+11,T2406161237478930808046,,14 Jul '24 | 02:11 PM,1400
HARIOM TRADERS,Terminal 64,4.47E+11,4.47E+11,T2406161241538710877136,,14 Jul '24 | 04:51 PM,700
HARIOM TRADERS,Terminal 64,4.47E+11,4.47E+11,T2406161357585236321226,,14 Jul '24 | 07:05 PM,2450
HARIOM TRADERS,Terminal 64,4.47E+11,4.47E+11,T2406161524196312140920,,14 Jul '24 | 07:09 PM,480
HARIOM TRADERS,Terminal 64,4.47E+11,4.47E+11,T2406161603060858393616,,14 Jul '24 | 07:14 PM,700
